Week,Unique Week,Season,Date,Home Ranking,Home Team,Home Score,Away Ranking,Away Team,Away Score,OT
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Texas A&M,26,NR,Arkansas State,11,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Houston,48,NR,Rice,14,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Mississippi State,34,NR,Oregon,42,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Arizona,42,NR,Texas-El Paso,7,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,San Diego State,19,NR,Eastern Washington,9,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Nevada,24,NR,Southern Utah,23,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Washington State,25,NR,Idaho,0,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Hawaii,40,NR,Appalachian State,17,0.0
2.0,2.0,2003.0,"Sun. Aug. 31, 2003",9,Virginia Tech,49,NR,Central Florida,28,0.0
2.0,2.0,2003.0,"Sun. Aug. 31, 2003",NR,Kentucky,24,NR,Louisville,40,0.0
2.0,2.0,2003.0,"Sun. Aug. 31, 2003",5,Texas,66,NR,New Mexico State,7,0.0
2.0,2.0,2003.0,"Mon. Sept. 1, 2003",NR,Cincinnati,40,NR,East Carolina,3,0.0
2.0,2.0,2003.0,"Mon. Sept. 1, 2003",NR,Tulane,35,25,Texas Christian,38,0.0
3.0,3.0,2003.0,"Thurs. Sept. 4, 2003",NR,UAB,12,NR,Southern Mississippi,17,0.0
3.0,3.0,2003.0,"Thurs. Sept. 4, 2003",NR,Eastern Michigan,12,NR,Western Illinois,34,0.0
3.0,3.0,2003.0,"Fri. Sept. 5, 2003",NR,Fresno State,16,NR,Oregon State,14,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Wake Forest,38,14,North Carolina State,24,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",5,Michigan,50,NR,Houston,3,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Memphis,44,NR,Mississippi,34,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Penn State,14,NR,Boston College,27,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",2,Ohio State,16,NR,San Diego State,13,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Iowa,56,NR,Buffalo,7,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Illinois,49,NR,Illinois State,22,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,South Carolina,31,15,Virginia,7,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",23,Nebraska,31,NR,Utah State,7,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",9,Virginia Tech,43,NR,James Madison,0,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",16,Purdue,26,NR,Bowling Green,27,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",8,Georgia,29,NR,Middle Tennessee,10,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Central Michigan,40,NR,New Hampshire,33,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Army,21,NR,Connecticut,48,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Northwestern,21,NR,Air Force,22,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Northern Illinois,42,NR,Tennessee Tech,17,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,North Carolina,47,NR,Syracuse,49,1.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Iowa State,48,NR,Ohio,20,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",19,Notre Dame,29,NR,Washington State,26,1.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",18,Wisconsin,48,NR,Akron,31,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Georgia Tech,17,17,Auburn,3,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",24,Colorado,16,NR,UCLA,14,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Oregon,31,NR,Nevada,23,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Michigan State,44,NR,Rutgers,28,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",22,Washington,38,NR,Indiana,13,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",12,Tennessee,34,NR,Marshall,24,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Temple,20,NR,Villanova,23,1.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Ball State,7,NR,Missouri,35,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Clemson,28,NR,Furman,17,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Duke,29,NR,Western Carolina,3,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,California,21,NR,Colorado State,23,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",25,Texas Christian,17,NR,Navy,3,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",10,Pittsburgh,43,NR,Kent State,3,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Arkansas State,63,NR,Tennessee-Martin,6,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,South Florida,27,NR,Nicholls State,17,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Western Michigan,56,NR,William & Mary,24,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Vanderbilt,51,NR,Chattanooga,6,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Toledo,49,NR,Liberty,3,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Kentucky,37,NR,Murray State,6,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,East Carolina,7,NR,West Virginia,48,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Texas Tech,42,NR,New Mexico,28,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Oklahoma State,48,NR,Wyoming,24,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Kansas,46,NR,UNLV,24,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Arkansas,45,NR,Tulsa,13,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",7,Kansas State,55,NR,McNeese State,14,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",11,Florida State,35,NR,Maryland,10,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Alabama,13,1,Oklahoma,20,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Idaho,5,NR,Eastern Washington,8,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",4,Southern California,35,NR,Brigham Young,18,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Miami ,38,21,Florida,33,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Tulane,27,NR,Northwestern State,24,1.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,New Mexico State,48,NR,Western New Mexico,3,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Louisiana-Monroe,21,NR,SFA,23,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Texas A&M,28,NR,Utah,26,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,La.-Lafayette,3,NR,Louisiana Tech,34,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Boise State,62,NR,Idaho State,0,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,North Texas,52,NR,Baylor,14,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Minnesota,48,NR,Troy State,7,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",20,Arizona State,34,NR,Northern Arizona,14,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Texas-El Paso,13,NR,Cal Poly-SLO,34,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Arizona,13,13,Louisiana State,59,0.0
3.0,3.0,2003.0,"Sat. Sept. 6, 2003",NR,Stanford,31,NR,San Jose State,10,0.0
4.0,4.0,2003.0,"Thurs. Sept. 11, 2003",NR,Utah,31,NR,California,24,0.0
4.0,4.0,2003.0,"Fri. Sept. 12, 2003",NR,Marshall,17,NR,Toledo,24,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",14,Wisconsin,5,NR,UNLV,23,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",20,Wake Forest,10,NR,Purdue,16,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",6,Texas,28,NR,Arkansas,38,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,West Virginia,13,NR,Cincinnati,15,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Northwestern,14,NR,Miami ,44,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Connecticut,14,NR,Boston College,24,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",3,Ohio State,44,24,North Carolina State,38,1.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Michigan State,19,NR,Louisiana Tech,20,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",11,Pittsburgh,42,NR,Ball State,21,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Iowa State,21,23,Iowa,40,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Vanderbilt,7,NR,Auburn,45,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Central Michigan,42,NR,Eastern Kentucky,41,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Syracuse,20,NR,Louisville,30,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Missouri,37,NR,Eastern Illinois,0,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Western Michigan,16,NR,Virginia,59,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Air Force,34,NR,North Texas,21,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",7,Kansas State,38,NR,Massachusetts,7,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Colorado State,31,NR,Weber State,7,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Ohio,20,NR,Minnesota,42,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",1,Oklahoma,52,NR,Fresno State,28,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",5,Michigan,38,15,Notre Dame,0,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",8,Georgia,31,25,South Carolina,7,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",17,Colorado,26,NR,Washington State,47,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Army,21,NR,Rutgers,36,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",4,Southern California,61,NR,Hawaii,32,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Wyoming,35,NR,Kansas,42,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Clemson,37,NR,Middle Tennessee,14,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",19,Florida,63,NR,Florida A&M,3,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Buffalo,15,NR,Colgate,38,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Kent State,16,NR,Youngstown State,13,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Bowling Green,62,NR,Liberty,3,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Maryland,61,NR,The Citadel,0,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Central Florida,33,NR,Florida Atlantic,29,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Duke,27,NR,Rice,24,1.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Akron,24,NR,Eastern Michigan,17,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Oregon State,28,NR,New Mexico State,16,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Miami ,38,NR,East Carolina,3,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Oklahoma State,35,NR,Southwest Missouri State,3,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Tulsa,41,NR,Southwest Texas State,15,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Indiana,33,NR,Indiana State,3,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Arkansas State,21,NR,Southeast Missouri State,3,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,UAB,9,NR,Troy State,20,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Southern Mississippi,23,NR,Memphis,6,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Mississippi,59,NR,Louisiana-Monroe,14,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Baylor,10,NR,Southern Methodist,7,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Idaho,10,NR,Boise State,24,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Alabama,27,NR,Kentucky,17,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",12,Louisiana State,35,NR,Western Illinois,7,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",18,Nebraska,18,NR,Penn State,10,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",10,Florida State,14,NR,Georgia Tech,13,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,UCLA,6,NR,Illinois,3,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Tulane,31,NR,Mississippi State,28,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,La.-Lafayette,14,NR,Houston,21,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,New Mexico,7,NR,Brigham Young,10,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Texas-El Paso,0,NR,San Diego State,34,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",16,Arizona State,26,NR,Utah State,16,0.0
4.0,4.0,2003.0,"Sat. Sept. 13, 2003",NR,Arizona,10,NR,Oregon,48,0.0
5.0,5.0,2003.0,"Thurs. Sept. 18, 2003",8,Virginia Tech,35,NR,Texas A&M,19,0.0
5.0,5.0,2003.0,"Thurs. Sept. 18, 2003",NR,San Jose State,30,NR,Nevada,42,0.0
5.0,5.0,2003.0,"Fri. Sept. 19, 2003",NR,UNLV,33,NR,Hawaii,22,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",17,Florida,10,12,Tennessee,24,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Wisconsin,38,NR,North Carolina,27,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Syracuse,38,NR,Central Florida,14,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,North Carolina State,49,NR,Texas Tech,21,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Illinois,24,NR,California,31,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",5,Ohio State,24,NR,Bowling Green,17,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",6,Kansas State,20,NR,Marshall,27,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",25,Purdue,59,NR,Arizona,7,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Penn State,32,NR,Kent State,10,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Navy,39,NR,Eastern Michigan,7,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",23,Missouri,41,NR,Middle Tennessee,40,1.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Duke,10,NR,Northwestern,28,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Ball State,27,NR,Central Michigan,14,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Air Force,35,NR,Wyoming,29,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Notre Dame,16,NR,Michigan State,22,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Louisville,42,NR,Texas-El Paso,14,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Colorado State,21,NR,Miami ,41,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",19,Washington,45,NR,Idaho,14,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",22,Oregon,31,3,Michigan,27,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",1,Oklahoma,59,NR,UCLA,24,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",11,Louisiana State,17,7,Georgia,10,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",10,Florida State,47,NR,Colorado,7,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Army,33,NR,Tulane,50,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",24,Washington State,23,NR,New Mexico,13,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Indiana,17,NR,Kentucky,34,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Buffalo,7,NR,Connecticut,38,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Maryland,34,NR,West Virginia,7,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",18,Iowa,21,16,Arizona State,2,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Wake Forest,34,NR,East Carolina,16,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Brigham Young,14,NR,Stanford,18,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",20,Texas Christian,30,NR,Vanderbilt,14,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Toledo,35,9,Pittsburgh,31,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",14,Arkansas,31,NR,North Texas,7,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",21,Alabama,16,NR,Northern Illinois,19,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Troy State,28,NR,Southeastern Louisiana,0,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Kansas,41,NR,Jacksonville State,6,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Baylor,27,NR,Sam Houston State,6,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Akron,65,NR,Howard,7,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Tulsa,54,NR,Arkansas State,7,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Southern Methodist,6,NR,Oklahoma State,52,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,South Carolina,42,NR,UAB,10,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Oregon State,26,NR,Boise State,24,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Georgia Tech,3,NR,Clemson,39,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Cincinnati,30,NR,Temple,24,1.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,San Diego State,37,NR,Samford,17,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Boston College,14,NR,Miami ,33,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Minnesota,48,NR,La.-Lafayette,14,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Louisiana-Monroe,10,NR,Northwestern State,14,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Houston,42,NR,Mississippi State,35,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Rice,7,13,Texas,48,0.0
5.0,5.0,2003.0,"Sat. Sept. 20, 2003",NR,Fresno State,16,NR,Louisiana Tech,6,0.0
6.0,6.0,2003.0,"Thurs. Sept. 25, 2003",NR,Southern Mississippi,14,15,Nebraska,38,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",5,Virginia Tech,47,NR,Connecticut,13,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",NR,Penn State,14,24,Minnesota,20,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",4,Ohio State,20,NR,Northwestern,0,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",NR,Michigan State,20,13,Iowa,10,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",11,Michigan,31,NR,Indiana,17,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",NR,Kentucky,21,25,Florida,24,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",NR,Kansas,35,23,Missouri,14,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",NR,Army,0,NR,South Florida,28,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",NR,Boston College,53,NR,Ball State,29,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",NR,North Carolina State,47,NR,North Carolina,34,0.0
6.0,6.0,2003.0,"Sat. Sept. 27, 2003",NR,Miami ,42,NR,Cincinnati,37,0.0
