Week,Unique Week,Season,Date,Home Ranking,Home Team,Home Score,Away Ranking,Away Team,Away Score,OT,Location
,,1876,11/25/1876,,Princeton,6,,Pennsylvania,0,,
,,1876,11/30/1876,,Yale,2,,Princeton,0,,"@ Hoboken, NJ"
,,1876,12/09/1876,,Columbia,0,,Yale,2,,"@ Hoboken, NJ"
,,1877,03/03/1877,,Harvard,1,,Princeton,0,,
,,1877,10/27/1877,,Columbia,0,,Harvard,6,,
,,1877,10/27/1877,,Stevens,4,,Rutgers,1,,
,,1877,11/03/1877,,Yale,1,,Tufts,0,,
,,1877,11/06/1877,,Columbia,1,,Rutgers,0,,
,,1877,11/10/1877,,McGill,0,,Harvard,1,,
,,1877,11/13/1877,,Stevens,0,,Columbia,1,,
,,1877,11/14/1877,,Rutgers,5,,Stevens,0,,
,,1877,11/17/1877,,Harvard,0,,Princeton,1,,neutral
,,1877,11/17/1877,,Amherst,8,,Tufts,4,,
,,1877,11/21/1877,,Yale,7,,Trinity (Connecticut),0,,
,,1877,11/24/1877,,Princeton,4,,Columbia,0,,
,,1877,11/24/1877,,Tufts,0,,Harvard,3,,
,,1877,11/24/1877,,Stevens,0,,Yale,13,,"@ Hoboken, NJ"
,,1877,12/08/1877,,Yale,0,,Princeton,0,,"@ Hoboken, NJ"
,,1878,10/19/1878,,Princeton,2,,Pennsylvania,0,,
,,1878,10/26/1878,,Brown,0,,Amherst,1,,
,,1878,10/26/1878,,Princeton,4,,Stevens,0,,
,,1878,10/29/1878,,Rutgers,0,,Stevens,0,,
,,1878,11/02/1878,,Yale,2,,Amherst,0,,
,,1878,11/02/1878,,Princeton,5,,Rutgers,0,,
,,1878,11/02/1878,,Pennsylvania,9,,Swarthmore,0,,
,,1878,11/05/1878,,Columbia,0,,Stevens,0,,
,,1878,11/09/1878,,Amherst,0,,Harvard,3,,
,,1878,11/09/1878,,Pennsylvania,1,,Princeton,2,,
,,1878,11/09/1878,,Stevens,1,,Rutgers,0,,
,,1878,11/09/1878,,Trinity (Connecticut),0,,Yale,2,,neutral
,,1878,11/13/1878,,Trinity (Connecticut),0,,Yale,3,,neutral
,,1878,11/16/1878,,Yale,1,,Amherst,0,,neutral
,,1878,11/16/1878,,Pennsylvania,0,,Columbia,0,,
,,1878,11/16/1878,,Harvard,0,,Princeton,1,,neutral
,,1878,11/23/1878,,Harvard,0,,Yale,1,,"@ Boston, MA"
,,1878,11/28/1878,,Yale,0,,Princeton,1,,"@ Hoboken, NJ"
,,1878,12/07/1878,,Rutgers,1,,City College of New York,0,,
,,1879,10/09/1879,,Stevens,0,,Stevens Alumni,0,,
,,1879,10/18/1879,,Britannia,0,,Harvard,2,,
,,1879,10/18/1879,,Princeton,6,,Pennsylvania,0,,
,,1879,10/25/1879,,Stevens,0,,Columbia,0,,
,,1879,10/25/1879,,Britannia,0,,Harvard,1,,
,,1879,11/01/1879,,Princeton,2,,Columbia,0,,
,,1879,11/01/1879,,McGill,0,,Harvard,0,,
,,1879,11/01/1879,,Yale,3,,Pennsylvania,0,,"@ Hoboken, NJ"
,,1879,11/08/1879,,Pennsylvania,1,,Columbia,0,,
,,1879,11/08/1879,,Yale,0,,Harvard,0,,
,,1879,11/08/1879,,Princeton,7,,Stevens,0,,
,,1879,11/11/1879,,Stevens,0,,Rutgers,1,,
,,1879,11/15/1879,,Pennsylvania,7,,Pennsylvania Military,0,,
,,1879,11/15/1879,,Harvard,0,,Princeton,1,,neutral
,,1879,11/15/1879,,Yale,5,,Rutgers,0,,
,,1879,11/20/1879,,Columbia,0,,Rutgers,0,,
,,1879,11/22/1879,,Columbia,0,,Yale,2,,"@ Hoboken, NJ"
,,1879,11/23/1879,,Rutgers,3,,Stevens,3,,
,,1879,11/25/1879,,Rutgers,1,,Stevens,3,,
,,1879,11/27/1879,,Yale,0,,Princeton,0,,"@ Hoboken, NJ"
,,1879,12/06/1879,,Stevens,0,,Stevens Alumni,0,,
,,1879,12/13/1879,,Stevens,0,,Rutgers,0,,
,,1880,10/09/1880,,Rutgers,5,,Stevens,1,,
,,1880,10/16/1880,,Britannia,0,,Harvard,0,,
,,1880,10/16/1880,,Stevens,0,,Rutgers,1,,
,,1880,10/23/1880,,Pennsylvania,5,,Crescent A.C.,0,,
,,1880,10/23/1880,,Ottawa,1,,Harvard,2,,
,,1880,10/23/1880,,Princeton,6,,Stevens,0,,
,,1880,10/30/1880,,Montreal,0,,Harvard,0,,
,,1880,10/30/1880,,Princeton,1,,Pennsylvania,0,,
,,1880,11/02/1880,,Stevens,2,,City College of New York,0,,
,,1880,11/02/1880,,Princeton,8,,Rutgers,0,,
,,1880,11/06/1880,,Columbia,0,,Harvard,3,,
,,1880,11/06/1880,,Pennsylvania,3,,Stevens,0,,
,,1880,11/10/1880,,Yale,13,,Columbia,0,,
,,1880,11/13/1880,,Yale,8,,Brown,0,,
,,1880,11/13/1880,,Stevens,0,,Pennsylvania,5,,
,,1880,11/13/1880,,Harvard,1,,Princeton,2,,neutral
,,1880,11/13/1880,,Columbia,3,,Rutgers,0,,
,,1880,11/17/1880,,Yale,8,,Pennsylvania,0,,"@ New York, NY"
,,1880,11/20/1880,,Harvard,0,,Yale,1,,"@ Boston, MA"
,,1880,11/25/1880,,Yale,0,,Princeton,0,,"@ New York, NY"
,,1881,10/08/1881,,Montreal,0,,Harvard,2,,
,,1881,10/15/1881,,Ottawa,1,,Harvard,9,,
,,1881,10/15/1881,,Princeton,3,,Rutgers,0,,
,,1881,10/22/1881,,Britannia,0,,Harvard,2,,
,,1881,10/22/1881,,Princeton,7,,Stevens,0,,
,,1881,10/29/1881,,Pennsylvania,0,,Princeton,7,,
,,1881,10/29/1881,,Amherst,0,,Yale,2,,
,,1881,10/31/1881,,Stevens,1,,Columbia,3,,
,,1881,10/31/1881,,Harvard,1,,Michigan,0,,"@ Boston, MA"
,,1881,11/02/1881,,Yale,2,,Michigan,0,,
,,1881,11/02/1881,,Harvard,2,,Pennsylvania,0,,"@ New York, NY"
,,1881,11/03/1881,,Stevens,1,,Rutgers,0,,
,,1881,11/04/1881,,Princeton,1,,Michigan,0,,
,,1881,11/05/1881,,Yale,4,,Amherst,0,,
,,1881,11/05/1881,,Stevens,2,,City College of New York,2,,
,,1881,11/05/1881,,Harvard,1,,Columbia,0,,
,,1881,11/05/1881,,Princeton,4,,Pennsylvania,0,,
,,1881,11/08/1881,,Rutgers,0,,Columbia,0,,
,,1881,11/10/1881,,Rutgers,0,,Princeton,1,,
,,1881,11/12/1881,,Princeton,1,,Columbia,0,,
,,1881,11/12/1881,,Amherst,0,,Dartmouth,1,,
,,1881,11/12/1881,,Yale,1,,Harvard,0,,
,,1881,11/16/1881,,Columbia,0,,Yale,1,,"@ New York, NY"
,,1881,11/17/1881,,Rutgers,10,,City College of New York,0,,
,,1881,11/19/1881,,Amherst,0,,Dartmouth,0,,
,,1881,11/19/1881,,Harvard,0,,Princeton,0,,neutral
,,1881,11/19/1881,,Pennsylvania,1,,Rutgers,2,,
,,1881,11/23/1881,,Columbia,1,,Rutgers,0,,
,,1881,11/24/1881,,Yale,0,,Princeton,0,,"@ New York, NY"
,,1881,11/26/1881,,Pennsylvania,0,,Columbia,2,,
,,1882,10/07/1882,,Harvard,1,,M.I.T.,0,,
,,1882,10/07/1882,,Yale,9,,Wesleyan,0,,
,,1882,10/11/1882,,Princeton,5,,Princeton Alumni,0,,
,,1882,10/14/1882,,Pennsylvania,5,,Crescent A.C.,0,,
,,1882,10/14/1882,,Harvard,3,,M.I.T.,0,,
,,1882,10/14/1882,,Amherst,2,,Massachusetts,0,,
,,1882,10/14/1882,,Princeton,5,,Rutgers,0,,
,,1882,10/20/1882,,Rutgers,7,,City College of New York,0,,
,,1882,10/21/1882,,Wesleyan,7,,Massachusetts,0,,
,,1882,10/21/1882,,Harvard,2,,McGill,0,,
,,1882,10/21/1882,,Yale,9,,Rutgers,0,,
,,1882,10/28/1882,,Amherst,0,,Harvard,1,,
,,1882,10/28/1882,,Dartmouth,5,,McGill,0,,
,,1882,10/28/1882,,Princeton,9,,Pennsylvania,0,,
,,1882,10/28/1882,,Massachusetts,0,,Wesleyan,7,,
,,1882,10/28/1882,,Rutgers,0,,Yale,5,,
,,1882,11/04/1882,,Wesleyan,1,,Amherst,0,,
,,1882,11/04/1882,,Harvard,8,,Dartmouth,0,,
,,1882,11/04/1882,,Yale,6,,M.I.T.,0,,
,,1882,11/04/1882,,Pennsylvania,0,,Rutgers,1,,
,,1882,11/07/1882,,Stevens,2,,City College of New York,0,,
,,1882,11/07/1882,,Rutgers,8,,Lafayette,0,,
,,1882,11/07/1882,,Columbia,0,,Princeton,8,,"@ New York, NY"
,,1882,11/08/1882,,Amherst,0,,Yale,9,,
,,1882,11/09/1882,,Rutgers,2,,Columbia,0,,
,,1882,11/11/1882,,Harvard,2,,Columbia,0,,
,,1882,11/11/1882,,Pennsylvania,0,,Princeton,10,,
,,1882,11/14/1882,,Stevens,1,,British Club of New York,1,,
,,1882,11/14/1882,,Rutgers,0,,Princeton,3,,
,,1882,11/18/1882,,Yale,11,,Columbia,0,,
,,1882,11/18/1882,,Rutgers,1,,Pennsylvania,0,,
,,1882,11/18/1882,,Harvard,2,,Princeton,1,,
,,1882,11/24/1882,,Stevens,0,,Rutgers,2,,
,,1882,11/25/1882,,Princeton,3,,Columbia,0,,
,,1882,11/25/1882,,Pennsylvania,1,,Lafayette,0,,
,,1882,11/25/1882,,Harvard,0,,Yale,1,,
,,1882,12/01/1882,,Yale,2,,Princeton,1,,"@ New York, NY"
,,1883,03/12/1883,,Michigan,40,,Detroit A.C.,5,,
,,1883,09/26/1883,,Yale,60,,Wesleyan,0,,
,,1883,09/29/1883,,Wesleyan,0,,Yale,94,,
,,1883,10/06/1883,,Yale,59,,Stevens,0,,
,,1883,10/06/1883,,Harvard,23,,Wesleyan,1,,
,,1883,10/13/1883,,Stevens,59,,Brooklyn Polytechnic Institute,0,,
,,1883,10/13/1883,,Harvard,4,,Pennsylvania,0,,
,,1883,10/17/1883,,Rutgers,0,,Princeton,20,,
,,1883,10/20/1883,,Columbia,12,,City College of New York,0,,
,,1883,10/20/1883,,Stevens,4,,Harvard,14,,
,,1883,10/20/1883,,Pennsylvania,26,,Johns Hopkins,6,,
,,1883,10/20/1883,,Wesleyan,37,,Rutgers,0,,
,,1883,10/22/1883,,Princeton,54,,Lafayette,7,,
,,1883,10/24/1883,,Stevens,0,,Princeton,14,,
,,1883,10/27/1883,,Stevens,19,,Columbia,0,,
,,1883,10/27/1883,,Pennsylvania,44,,Lafayette,4,,
,,1883,10/27/1883,,Harvard,14,,M.I.T.,1,,
,,1883,10/27/1883,,Princeton,61,,Rutgers,0,,
,,1883,10/31/1883,,Rutgers,54,,City College of New York,2,,
,,1883,11/03/1883,,Wesleyan,6,,Harvard,18,,
,,1883,11/03/1883,,Princeton,39,,Pennsylvania,6,,
,,1883,11/03/1883,,Lafayette,4,,Stevens,14,,
,,1883,11/06/1883,,Harvard,11,,Stevens,2,,
,,1883,11/06/1883,,Princeton,24,,Wesleyan,0,,"@ New York, NY"
,,1883,11/06/1883,,Rutgers,0,,Yale,92,,"@ Brooklyn, NY"
,,1883,11/10/1883,,Pennsylvania,30,,Johns Hopkins,0,,
,,1883,11/10/1883,,Lafayette,25,,Rutgers,0,,
,,1883,11/10/1883,,Harvard,39,,Williams,0,,
,,1883,11/14/1883,,Pennsylvania,35,,Columbia,1,,
,,1883,11/14/1883,,Brooklyn Polytechnic Institute,0,,Yale,49,," @ Brooklyn, NY"
,,1883,11/17/1883,,Princeton,26,,Harvard,7,,
,,1883,11/17/1883,,Pennsylvania,18,,Rutgers,0,,
,,1883,11/17/1883,,Stevens,60,,Seton Hall,0,,
,,1883,11/17/1883,,Wesleyan,21,,Williams,0,,
,,1883,11/17/1883,,Columbia,0,,Yale,93,,"@ New York, NY"
,,1883,11/19/1883,,Wesleyan,14,,Michigan,6,,
,,1883,11/21/1883,,Yale,64,,Michigan,0,,
,,1883,11/22/1883,,Harvard,3,,Michigan,0,,
,,1883,11/24/1883,,Stevens,14,,Lafayette,11,,
,,1883,11/24/1883,,Pennsylvania,38,,Pennsylvania Alumni,7,,
,,1883,11/24/1883,,Yale,6,,Princeton,0,,"@ New York, NY"
,,1883,11/27/1883,,Stevens,5,,Michigan,1,,
,,1883,11/29/1883,,Pennsylvania,6,,Stevens,6,,
,,1883,11/29/1883,,Harvard,2,,Yale,23,,"@ New York, NY"
,,1883,11/30/1883,,Lewisburg A.C.,0,,Lafayette,59,,
,,1884,10/01/1884,,Yale,31,,Wesleyan,0,,
,,1884,10/08/1884,,Stevens,0,,Princeton,4,,
,,1884,10/10/1884,,Rutgers,5,,Princeton,23,,
,,1884,10/11/1884,,Yale,96,,Stevens,0,,
,,1884,10/15/1884,,Rutgers,35,,Columbia,5,,
,,1884,10/15/1884,,Princeton,22,,Wesleyan,2,,
,,1884,10/18/1884,,Harvard,43,,M.I.T.,5,,
,,1884,10/18/1884,,Princeton,35,,Rutgers,0,,
,,1884,10/18/1884,,Yale,63,,Wesleyan,0,,neutral
,,1884,10/20/1884,,Stevens,15,,Stevens Alumni,0,,
,,1884,10/22/1884,,Harvard,0,,Pennsylvania,4,,
,,1884,10/22/1884,,Rutgers,10,,Yale,76,,
,,1884,10/25/1884,,M.I.T.,0,,Harvard,42,,
,,1884,10/25/1884,,Lafayette,50,,Lehigh,0,,
,,1884,10/25/1884,,Pennsylvania,0,,Princeton,31,,
,,1884,10/25/1884,,Dartmouth,0,,Yale,113,,
,,1884,10/29/1884,,Princeton,140,,Lafayette,0,,
,,1884,10/29/1884,,Harvard,67,,Trinity (Connecticut),0,,
,,1884,10/29/1884,,Stevens,0,,Wesleyan,11,,
,,1884,11/01/1884,,Wesleyan,16,,Harvard,0,,
,,1884,11/01/1884,,Pennsylvania,21,,Lafayette,0,,
,,1884,11/01/1884,,Rutgers,61,,Lehigh,0,,
,,1884,11/01/1884,,Princeton,58,,Stevens,0,,
,,1884,11/05/1884,,Yale,46,,Wesleyan,0,,
,,1884,11/05/1884,,Harvard,23,,Williams,0,,
,,1884,11/08/1884,,Ottawa,6,,Harvard,20,,
,,1884,11/08/1884,,Princeton,57,,Johns Hopkins,0,,
,,1884,11/08/1884,,Rutgers,26,,Lafayette,0,,
,,1884,11/08/1884,,Pennsylvania,30,,Stevens,0,,
,,1884,11/12/1884,,Dartmouth,0,,Harvard,29,,
,,1884,11/12/1884,,Lehigh,4,,Lafayette,34,,
,,1884,11/15/1884,,Lehigh,12,,Haverford,36,,
,,1884,11/15/1884,,Pennsylvania,33,,Johns Hopkins,0,,
,,1884,11/15/1884,,Lafayette,4,,Stevens,18,,
,,1884,11/15/1884,,Harvard,51,,Tufts,0,,
,,1884,11/15/1884,,Rutgers,0,,Wesleyan,31,,"@ New York, NY"
,,1884,11/18/1884,,Stevens,24,,Yale/Princeton/Harvard Grads,4,,
,,1884,11/19/1884,,Harvard,6,,Princeton,36,,
,,1884,11/19/1884,,Yale,18,,Yale Alumni,0,,
,,1884,11/20/1884,,Pennsylvania,16,,Pennsylvania Alumni,16,,
,,1884,11/22/1884,,Yale,52,,Harvard,0,,
,,1884,11/27/1884,,Stevens,52,,Lafayette,0,,
,,1884,11/27/1884,,Yale,0,,Princeton,0,,"@ New York, NY"
,,1884,11/27/1884,,Pennsylvania,14,,Wesleyan,12,,"@ New York, NY"
,,1885,10/03/1885,,Stevens,0,,Princeton,94,,
,,1885,10/07/1885,,Pennsylvania,42,,Pennsylvania Alumni,0,,
,,1885,10/10/1885,,Pennsylvania,54,,Lehigh,0,,
,,1885,10/10/1885,,Wesleyan,80,,Massachusetts,0,,
,,1885,10/10/1885,,Stevens,0,,Yale,55,,
,,1885,10/14/1885,,Princeton,76,,Stevens,0,,
,,1885,10/14/1885,,Pennsylvania,68,,Swarthmore,6,,
,,1885,10/14/1885,,Yale,18,,Wesleyan,0,,neutral
,,1885,10/17/1885,,Haverford,24,,Lehigh,8,,
,,1885,10/17/1885,,Pennsylvania,6,,Pennsylvania Alumni,5,,
,,1885,10/24/1885,,Pennsylvania,0,,Princeton,57,,
,,1885,10/24/1885,,Lafayette,16,,Stevens,12,,
,,1885,10/28/1885,,Pennsylvania,54,,Lafayette,10,,
,,1885,10/28/1885,,Yale,71,,Wesleyan,0,,
,,1885,10/31/1885,,Lehigh,0,,Lafayette,0,,
,,1885,10/31/1885,,Princeton,80,,Pennsylvania,10,,
,,1885,10/31/1885,,Wesleyan,60,,Trinity (Connecticut),0,,
,,1885,10/31/1885,,M.I.T.,0,,Yale,51,,"@ Boston, MA"
,,1885,11/03/1885,,Stevens,162,,City College of New York,0,,
,,1885,11/03/1885,,Yale,52,,Crescent A.C.,0,,
,,1885,11/04/1885,,Lafayette,22,,Pennsylvania,30,,
,,1885,11/04/1885,,Lehigh,10,,Rutgers,5,,
,,1885,11/07/1885,,Columbia Law,0,,Princeton,64,,
,,1885,11/07/1885,,Lehigh,4,,Stevens,20,,
,,1885,11/07/1885,,Pennsylvania,18,,Wesleyan,25,,"@ New York, NY"
,,1885,11/11/1885,,Princeton,10,,Johns Hopkins,0,,
,,1885,11/11/1885,,Stevens,18,,Lafayette,23,,
,,1885,11/14/1885,,City College of New York,0,,Stevens,86,,
,,1885,11/14/1885,,Princeton,76,,Wesleyan,0,,
,,1885,11/14/1885,,Pennsylvania,5,,Yale,53,,
,,1885,11/18/1885,,Pennsylvania,35,,Lehigh,0,,
,,1885,11/21/1885,,Lafayette,6,,Lehigh,6,,
,,1885,11/21/1885,,Stevens,9,,Pennsylvania,23,,
,,1885,11/21/1885,,Yale,5,,Princeton,6,,
,,1885,11/26/1885,,Pennsylvania,10,,Princeton,76,,
,,1885,11/26/1885,,Yale,61,,Wesleyan,0,,"@ New York, NY"
,,1886,09/29/1886,,Williams,61,,Tufts,0,,
,,1886,09/30/1886,,Pennsylvania,64,,Falls of Schuylkill,0,,
,,1886,10/02/1886,,Tufts,0,,Harvard,82,,
,,1886,10/02/1886,,Pennsylvania,18,,Tioga,0,,
,,1886,10/02/1886,,M.I.T.,14,,Williams,14,,
,,1886,10/06/1886,,M.I.T.,0,,Harvard,54,,
,,1886,10/06/1886,,Yale,75,,Wesleyan,0,,
,,1886,10/06/1886,,Tufts,4,,Williams,33,,
,,1886,10/09/1886,,Pennsylvania,26,,Lehigh,4,,
,,1886,10/09/1886,,Williams,21,,M.I.T.,0,,
,,1886,10/09/1886,,Princeton,58,,Stevens,0,,
,,1886,10/09/1886,,Harvard,46,,Tufts,0,,
,,1886,10/09/1886,,Wesleyan,0,,Yale,62,,
,,1886,10/13/1886,,Tufts,4,,Amherst,18,,
,,1886,10/13/1886,,Swarthmore,12,,Lafayette,20,,
,,1886,10/13/1886,,Pennsylvania,4,,Pennsylvania Alumni,0,,
,,1886,10/13/1886,,Stevens,6,,Princeton,61,,
,,1886,10/16/1886,,Wesleyan,47,,Amherst,0,,
,,1886,10/16/1886,,Andover,18,,Dartmouth,11,,
,,1886,10/16/1886,,Yale,96,,M.I.T.,0,,
,,1886,10/16/1886,,Pennsylvania,0,,Princeton,30,,
,,1886,10/16/1886,,Lafayette,28,,Rutgers,2,,
,,1886,10/16/1886,,Harvard,44,,Stevens,0,,
,,1886,10/18/1886,,Lafayette,24,,Dickinson,5,,
,,1886,10/18/1886,,Pennsylvania,6,,Philadelphia All-Stars,6,,
,,1886,10/20/1886,,Harvard,59,,M.I.T.,0,,
,,1886,10/20/1886,,Lafayette,12,,Pennsylvania,0,,
,,1886,10/20/1886,,Amherst,22,,Tufts,4,,
,,1886,10/20/1886,,Stevens,0,,Yale,54,,
,,1886,10/23/1886,,Tufts,8,,Exeter,18,,
,,1886,10/23/1886,,Andover,0,,Harvard,86,,
,,1886,10/23/1886,,Stevens,0,,Lafayette,5,,
,,1886,10/23/1886,,Dickinson,0,,Lehigh,26,,
,,1886,10/23/1886,,Dartmouth,11,,M.I.T.,6,,
,,1886,10/23/1886,,Amherst,13,,Massachusetts,0,,
,,1886,10/23/1886,,Princeton,55,,Pennsylvania,9,,
,,1886,10/23/1886,,Williams,0,,Yale,76,,
,,1886,10/27/1886,,Vermont,0,,Dartmouth,91,,
,,1886,10/27/1886,,Pennsylvania,14,,Wesleyan,0,,"@ New York, NY"
,,1886,10/30/1886,,M.I.T.,22,,Amherst,0,,
,,1886,10/30/1886,,Dartmouth,0,,Harvard,70,,neutral
,,1886,10/30/1886,,Pennsylvania,20,,Lafayette,10,,
,,1886,10/30/1886,,Stevens,0,,Lehigh,0,,
,,1886,10/30/1886,,Tufts,5,,Massachusetts,6,,
,,1886,10/30/1886,,Yale,136,,Wesleyan,0,,
,,1886,11/02/1886,,Crescent A.C.,0,,Yale,84,,"@ New York, NY"
,,1886,11/03/1886,,Exeter,0,,Harvard,158,,
,,1886,11/03/1886,,Pennsylvania,16,,Haverford,4,,
,,1886,11/06/1886,,Lafayette,12,,Lehigh,0,,
,,1886,11/06/1886,,Pennsylvania,6,,Princeton,28,,
,,1886,11/06/1886,,M.I.T.,26,,Tufts,8,,
,,1886,11/06/1886,,Rutgers,58,,Vineland,0,,
,,1886,11/06/1886,,Harvard,34,,Wesleyan,0,,
,,1886,11/06/1886,,Amherst,2,,Williams,15,,
,,1886,11/10/1886,,Harvard,38,,Harvard Alumni,0,,
,,1886,11/10/1886,,Pennsylvania,65,,Rutgers,0,,
,,1886,11/11/1886,,Trinity (Connecticut),0,,Lafayette,12,,
,,1886,11/13/1886,,Williams,11,,Amherst,0,,
,,1886,11/13/1886,,Princeton,12,,Harvard,0,,
,,1886,11/13/1886,,Wesleyan,26,,Lafayette,0,,
,,1886,11/13/1886,,Yale,75,,Pennsylvania,0,,
,,1886,11/13/1886,,Lehigh,14,,Stevens,0,,
,,1886,11/15/1886,,Pennsylvania,96,,Vineland,6,,
,,1886,11/17/1886,,M.I.T.,0,,Harvard,62,,
,,1886,11/17/1886,,Rutgers,10,,Lafayette,26,,
,,1886,11/18/1886,,Lehigh,28,,Pennsylvania,0,,
,,1886,11/20/1886,,Lehigh,18,,Haverford,4,,
,,1886,11/20/1886,,Wesleyan,6,,Princeton,76,,
,,1886,11/20/1886,,Lafayette,58,,Stevens,0,,
,,1886,11/20/1886,,Harvard,4,,Yale,29,,
,,1886,11/24/1886,,Lehigh,0,,Lafayette,4,,
,,1886,11/25/1886,,Pennsylvania,0,,Harvard,28,,
,,1886,11/25/1886,,Princeton,0,,Yale,0,,
,,1887,10/01/1887,,Wesleyan,34,,Amherst,0,,
,,1887,10/01/1887,,Tufts,0,,Harvard,86,,
,,1887,10/05/1887,,Exeter,0,,Harvard,68,,
,,1887,10/05/1887,,Yale,38,,Wesleyan,0,,
,,1887,10/08/1887,,Tufts,5,,Boston University,0,,
,,1887,10/08/1887,,Princeton,47,,Lafayette,0,,
,,1887,10/08/1887,,Harvard,62,,M.I.T.,0,,
,,1887,10/08/1887,,Pennsylvania,14,,Pennsylvania Alumni,6,,
,,1887,10/08/1887,,Rutgers,26,,Stevens,0,,
,,1887,10/08/1887,,Lehigh,24,,Swarthmore,0,,
,,1887,10/08/1887,,Amherst,0,,Williams,54,,
,,1887,10/12/1887,,Dickinson,0,,Lafayette,12,,
,,1887,10/12/1887,,Rutgers,0,,Princeton,30,,
,,1887,10/12/1887,,Pennsylvania,46,,Tioga,0,,
,,1887,10/12/1887,,Wesleyan,58,,Trinity (Connecticut),0,,
,,1887,10/15/1887,,Massachusetts,0,,Amherst,10,,
,,1887,10/15/1887,,Tufts,0,,Dartmouth,52,,
,,1887,10/15/1887,,Princeton,80,,Lehigh,0,,
,,1887,10/15/1887,,Pennsylvania,18,,Pennsylvania Alumni,0,,
,,1887,10/15/1887,,Lafayette,20,,Rutgers,0,,
,,1887,10/15/1887,,Harvard,52,,Williams,6,,
,,1887,10/15/1887,,Wesleyan,0,,Yale,106,,
,,1887,10/19/1887,,Lafayette,12,,Haverford,4,,
,,1887,10/19/1887,,Trinity (Connecticut),32,,Massachusetts,4,,
,,1887,10/19/1887,,Pennsylvania,0,,Princeton,57,,
,,1887,10/19/1887,,Stevens,2,,Rutgers,5,,
,,1887,10/22/1887,,Harvard,98,,Amherst,0,,
,,1887,10/22/1887,,Trinity (Connecticut),14,,Boston University,14,,
,,1887,10/22/1887,,Stevens,4,,Dartmouth,4,,
,,1887,10/22/1887,,Lehigh,20,,Dickinson,0,,
